name,category,assigned to,description,review,
'bar spoon turmeric',mixer,lauren,"Turmeric (Curcuma longa; /ËˆtÉœËêrmÉ™rÉªk/ or variously /ËˆtjuËêmÉ™rÉªk/[2]) is a flowering plant of the ginger family, Zingiberaceae, the roots of which are used in cooking.[3] The plant is rhizomatous, herbaceous, and perennial, and is native to the Indian subcontinent and Southeast Asia, and requires temperatures between 20 and 30 Â°C (68 and 86 Â°F) and a considerable amount of annual rainfall to thrive. Plants are gathered each year for their rhizomes, some for propagation in the following season and some for consumption. When not used fresh, the rhizomes are boiled in water for about 30â€“45 minutes and then dried in hot ovens, after which they are ground into a deep orange-yellow powder commonly used as a coloring and flavoring agent in many Asian cuisines, especially for curries, as well as for dyeing.[4] Turmeric powder has a warm, bitter, black pepper-like flavor and earthy, mustard-like aroma.[5][6]",,
'agave nectar',mixer,lauren,"Agave nectar (more accurately, agave syrup) is a sweetener commercially produced from several species of agave, including Agave tequilana (blue agave) and Agave salmiana. Blue agave syrup contains 56% fructose as a sugar providing sweetening properties.",,
'agave syrup',mixer,lauren,"Agave nectar (more accurately, agave syrup) is a sweetener commercially produced from several species of agave, including Agave tequilana (blue agave) and Agave salmiana. Blue agave syrup contains 56% fructose as a sugar providing sweetening properties",,
'agave',mixer,lauren,"Agave nectar (more accurately, agave syrup) is a sweetener commercially produced from several species of agave, including Agave tequilana (blue agave) and Agave salmiana. Blue agave syrup contains 56% fructose as a sugar providing sweetening properties",,
'almond syrup',mixer,lauren,"Historically, almond syrup was an emulsion of sweet and bitter almonds, usually made with barley syrup (orgeat syrup) or in a syrup of orange flower water and sugar, often flavored with a synthetic aroma of almonds.[40] Orgeat syrup is an important ingredient in the Mai Tai and many other Tiki drinks.[50][51][52] Due to the cyanide found in bitter almonds, modern syrups generally are produced only from sweet almonds. Such syrup products do not contain significant levels of hydrocyanic acid, so are generally considered safe for human consumption.",,
'apple cider',mixer,lauren,"Apple cider (also called sweet cider or soft cider or simply cider) is the name used in the United States and parts of Canada for an unfiltered, unsweetened, non-alcoholic beverage made from apples. Though typically referred to simply as ""cider"" in those areas, it is not to be confused with the alcoholic beverage known as cider throughout most of the world, called hard cider in the US. It is the liquid extracted from an apple and all its components, that is then boiled to concentration. The liquid can be extracted from the apple itself, the apple core, the trimmings from apples, or apple culls. Once pressed mainly at farmsteads and local mills, apple cider is easy and inexpensive to make.[1] It is typically opaque due to fine apple particles in suspension and generally tangier than commercial filtered apple juice, but this depends on the variety of apples used.[2] Cider is typically pasteurized to kill bacteria and extend its shelf life, but untreated cider is common. In either form, apple cider is seasonally produced in autumn.[3] It is traditionally served on the Halloween, Thanksgiving, Christmas, and various New Year's Eve holidays, sometimes heated and mulled.",,
'apple juice',mixer,lauren,"Apple juice is a fruit juice made by the maceration and pressing of an apple. The resulting expelled juice may be further treated by enzymatic and centrifugal clarification to remove the starch and pectin, which holds fine particulate in suspension, and then pasteurized for packaging in glass, metal or aseptic processing system containers, or further treated by dehydration processes to a concentrate. Due to the complex and costly equipment required to extract and clarify juice from apples in large volume, apple juice is normally produced commercially. In the United States, unfiltered fresh apple juice is made by smaller operations in areas of high apple production, in the form of unclarified apple cider. Apple juice is one of the most common fruit juices in the world, with world production led by China, Poland, the United States, and Germany",,
'apple purÃ©e',mixer,lauren,"Apples are first selected based on ripeness, texture, natural sweetness and tartness/acidity. Some of these apples are pressed into fresh apple cider, while the rest are peeled and cored, then wholly steamed and cooked into apple puree. The freshly pressed apple cider and cooked apple puree are added to a large steam vat. Small amounts of sodium bicarbonate are added to the mixture in order to reduce acidity and help bring out sweetness from the natural fructose available in the apples.",,
'apricot & cardamom syrup',mixer,lauren,"These fragrant cardamom flavored apricots are so useful, I make big batches of them to give as gifts and to use for my own entertaining. They are delicious with drained whole milk yogurt, ice cream or creme fraiche make an excellent filling for tarts and turnovers, or accompaniment to plain cakes, with some whipped cream. They are also spectacular roasted and served with crÃ¨me fraiche (see recipe). I like to use California apricots because they have more intense flavor and delicate texture than Turkish ones.",,
'apricot jam',mixer,lauren,"This recipe yields a very chunky, rustic jam that relies entirely on the fruit's natural pectin, in concert with sugar, lemon juice, and heat, to set perfectly. This jam works well with Blenheim apricots, or any other small, freestone apricot (apricots that have pits that pop out easily, rather than clinging to the flesh). If you have particularly firm or large apricots, or you would just like a jam with a more refined texture, feel free to macerate the apricot halves in the sugar at room temperature overnight before proceeding with the recipe.",,
